Part Number,Part Description,Vendor Name,Customer Part Number,Vendor Part Number,EANUPC Code,Plant,Vendor Number,Size,Weight,Volume,Unit,Category ID,Availability Flag,Available Quantity,Backlog Information,Backlog ETA,License Flag,BOM Flag,Warranty Flag,Bulk Freight Flag,Material Long Description,Length,Width,Height,Dimension Unit,Weight Unit,Volume Unit,Category,Material Creation Reason code,Media Code,Material Language Code,Substitute Material,Superseded Material,Manufacturer Vendor Number,Sub-Category,Product Family,Purchasing Vendor,Material Change Code,Action code,Price Status,New Material Flag,Vendor Subrange,Case Qty,Pallet Qty,Direct Order identifier,Material Status,Discontinued / Obsoleted date,Release Date,Fulfilment type,Music Copyright Fees,Recycling Fees,Document Copyright Fees,Battery Fees,Tax Percent,Discount in Percent,Customer Reservation Number,Customer Reservation Qty,Agreement ID,Level ID,Period,Points,Company code,Company code Currency,Customer Currency Code,Customer Price Change Flag,Substitute Flag,Availability (Local Stock),Availability (Central Stock),Creation Reason Type,Creation Reason Value,Plant 01 Available Quantity,Plant 02 Available Quantity,VAT Rate,Product Group,MRP Controller,Shipping Country,Local Stock Backlog Quantity,Local Stock Backlog ETA,Central Stock Backlog Quantity,Central Stock Backlog ETA,Total Fees,Category Description,Sub-Category Description,Category ID Description
3689016,MB16AC ZENSCREEN 15.6 USB C MONITOR,ASUS,,MB16AC,4712900000000,NZ01,500019,,2.45,6.887,EA,1090,,0,0,,,,,,ASUS ZENSCREEN MB16AC 15.6 FHD IPS PORTABLE USB TYPE-C & USB 3.0 MONITOR 3YEAR WARRANTY,42.8,29.8,5.4,CM,KG,CDM,3,C,,,,,500019,117,ASUS Displays Monitors,100292,NEW,NEW,C,,458999,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,,0,,0,Displays,Monitors,LCD/LED Monitors
3716572,XG27VQ 27IN CURVED FHD HDMI/DP MNT 3Y,ASUS,,XG27VQ,4712900000000,NZ01,500019,,10.65,109894.752,EA,1090,,3,0,,,,,,ROG STRIX XG27VQ 27IN CURVED (16:9) FHD (1920X1080) HDMI D-SUB DISPLAYPORT DUAL-LINK DVI-D 2 X 2W STEREO RMS 3.5MM MINI-JACK TILT VESA 3 YEARS WARRANTY,74.6,26.4,55.8,CM,KG,CDM,3,D,,,,,500019,117,ASUS Displays Monitors,100292,NEW,NEW,D,,458999,0,0,,,20200617,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,3,0,,,Z01,NZ,0,,0,,0,Displays,Monitors,LCD/LED Monitors
4350284,VG278QR 27IN TN FHD HDMI DP DVI-D 3Y,ASUS,,VG278QR,4718020000000,NZ01,500019,,5.6,0,EA,1090,,0,0,,,,,,VG278QR 27IN TN FHD (1920x1080) 16:9 HDMI DISPLAYPORT DVI-D 2X 2W STEREO RMS 3.5MM AUDIO JACK TILT VESA 3 YEARS WARRANTY,0,0,0,,KG,,3,C,,,,,500019,117,ASUS Displays Monitors,100292,NEW,NEW,C,,458999,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,,0,,0,Displays,Monitors,LCD/LED Monitors
4529707,MB16AMT 15.6IN IPS FHD MHDMI USB 3Y,ASUS,,MB16AMT,4718020000000,NZ01,500019,,3.02,0,EA,1090,,0,0,,,,,,MB16AMT 15.6IN IPS FHD MICRO-HDMI USB TYPE C 1W SPEAKERS 3Y,0,0,0,,KG,,3,C,,,,,500019,117,ASUS Displays Monitors,100292,NEW,NEW,C,,458999,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,,0,,0,Displays,Monitors,LCD/LED Monitors
4529711,PG35VQ 35IN VA CURVED 4K HDMI DP 3Y,ASUS,,PG35VQ,4718020000000,NZ01,500019,,13.6,0,EA,1090,,1,0,,,,,,PG35VQ 35IN VA CURVED 4K 3440X1440 21:9 HDMI DP TILT VESA 3 YEARS WARRANTY,0,0,0,,KG,,3,C,,,,,500019,117,ASUS Displays Monitors,100292,NEW,NEW,C,,458999,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,1,0,,,Z01,NZ,0,,0,,0,Displays,Monitors,LCD/LED Monitors
3081672,RT-AC88U AC3100 WIRELESS GIGABIT ROUTER,ASUS,,RT-AC88U,889349000000,NZ01,500019,,0.95,0,EA,1161,,0,0,,,,,,ASUS AC3100 DUAL BAND GIGABIT WIFI GAMING ROUTER WITH MU-MIMO FEATURES LINK AGGREGATION SMART CONNECT WTFAST GAME ACCELERATOR AIPROTECTION NETWORK SECURITY BY TREND MICRO AND PARENTAL CONTROL. ( AIMES,0,0,0,,KG,,5,C,,,,,500019,130,ASUS Networking Wireless Networking,100324,NEW,NEW,C,,455641,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,,0,,0,Networking,Wireless Networking,Wireless Routers & Gateways
4446699,LYRA VOICE AC2200 MESH SMART WIFI ROUTER,ASUS,,LYRA VOICE,192876000000,NZ01,500019,,2.15,6286.896,EA,1161,,1,0,,,,,,LYRA VOICE AC2200 MESH SMART VOICE WIFI ROUTER - BLUETOOTH SPEAKER WITH AIMESH SUPPORT AND AMAZON ALEXA,32.4,12.6,15.4,CM,KG,CDM,5,D,,,,,500019,130,ASUS Networking Wireless Networking,100324,NEW,NEW,D,,455641,0,0,,,20200121,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,1,0,,,Z01,NZ,0,,0,,0,Networking,Wireless Networking,Wireless Routers & Gateways
4507575,ROG RAPTURE GT-AC2900 WIRELESS ROUTER,ASUS,,GT-AC2900,192876000000,NZ01,500019,,0.78,0,EA,1161,,0,0,,,,,,ROG RAPTURE GT-AC2900 WIRELESS ROUTER,0,0,0,,KG,,5,C,,,,,500019,130,ASUS Networking Wireless Networking,100324,NEW,NEW,C,,455641,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,,0,,0,Networking,Wireless Networking,Wireless Routers & Gateways
4630351,RT-AX58U 802.11AX WIFI6 GIGABIT ROUTER,ASUS,,90IG04Q0-MFAR20,,NZ01,500019,,1.1,7.262,EA,1161,,14,0,,,,,,RT-AX58U AX3000 802.11AX WIFI6 DUAL-BAND GIGABIT ROUTER,33.8,26.2,8.2,CM,KG,CDM,5,C,,,,,500019,130,ASUS Networking Wireless Networking,100324,NEW,NEW,C,,455641,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,14,0,,,Z01,NZ,0,,0,,0,Networking,Wireless Networking,Wireless Routers & Gateways
4693250,AC2600 DUAL BAND AIMESH WIFI ROUTER,ASUS,,90IG03W1-BFA000,889350000000,NZ01,500019,,1.5,7.077,EA,1161,,6,0,,,,,,AC2600 DUAL BAND AIMESH WIFI BLUE CAVE ROUTER,19,19.4,19.2,CM,KG,CDM,5,C,,,,,500019,130,ASUS Networking Wireless Networking,100324,NEW,NEW,C,,455641,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,6,0,,,Z01,NZ,0,,0,,0,Networking,Wireless Networking,Wireless Routers & Gateways
4693251,AC2200 SMART AIMESH WIFI ROUTER,ASUS,,90IG04N0-MZ7G00,192876000000,NZ01,500019,,2.05,6.45,EA,1161,,9,0,,,,,,AC2200 SMART AIMESH WIFI LYRA VOICE ROUTER,32.4,12.6,15.8,CM,KG,CDM,5,C,,,,,500019,130,ASUS Networking Wireless Networking,100324,NEW,NEW,C,,455641,0,0,,,,,,0,0,0,0,0,,,,,,,,2320,NZD,NZD,,,0,0,STANDARD,STANDARD,9,0,,,Z01,NZ,0,,0,,0,Networking,Wireless Networking,Wireless Routers & Gateways
